Observation id,Observation date,Description,Observation type,Source,Time offset (s),Coding duration,Media duration (s),FPS (frame/s),Subject,Observation duration by subject by observation,Behavior,Behavioral category,Modifier #1,Original_BehaviorType,Media file name,Image index start,Image index stop,Image file path start,Image file path stop,Comment start,Comment stop,Time,Behavior type,Stop (s).x
Waffle,2024-12-19T21:49:23Z,NA,Media file,player #1:VIDEO\Waffle.MOV,0,1417.32,1473.312,29.97,No focal subject,240.613,interacting with tupperware,Not defined,NA,STATE,VIDEO\Waffle.MOV,14745,14805,NA,NA,NA,NA,493.728,STOP,NA
Waffle,2024-12-19T21:49:23Z,NA,Media file,player #1:VIDEO\Waffle.MOV,0,1417.32,1473.312,29.97,No focal subject,240.613,interacting with tupperware,Not defined,NA,STATE,VIDEO\Waffle.MOV,14913,15050,NA,NA,NA,NA,497.33,START,NA
Waffle,2024-12-19T21:49:23Z,NA,Media file,player #1:VIDEO\Waffle.MOV,0,1417.32,1473.312,29.97,No focal subject,240.613,interacting with tupperware,Not defined,NA,STATE,VIDEO\Waffle.MOV,14913,15050,NA,NA,NA,NA,501.898,STOP,NA
Waffle,2024-12-19T21:49:23Z,NA,Media file,player #1:VIDEO\Waffle.MOV,0,1417.32,1473.312,29.97,No focal subject,240.613,interacting with tupperware,Not defined,NA,STATE,VIDEO\Waffle.MOV,15073,15244,NA,NA,NA,NA,502.665,START,NA
Waffle,2024-12-19T21:49:23Z,NA,Media file,player #1:VIDEO\Waffle.MOV,0,1417.32,1473.312,29.97,No focal subject,240.613,interacting with tupperware,Not defined,NA,STATE,VIDEO\Waffle.MOV,15073,15244,NA,NA,NA,NA,508.368,STOP,NA
Waffle,2024-12-19T21:49:23Z,NA,Media file,player #1:VIDEO\Waffle.MOV,0,1417.32,1473.312,29.97,No focal subject,240.613,looking at owner,Not defined,NA,NA,VIDEO\Waffle.MOV,16222,16222,NA,NA,NA,NA,540.983,POINT,540.983
Waffle,2024-12-19T21:49:23Z,NA,Media file,player #1:VIDEO\Waffle.MOV,0,1417.32,1473.312,29.97,No focal subject,240.613,looking at owner,Not defined,NA,NA,VIDEO\Waffle.MOV,19176,19176,NA,NA,NA,NA,639.495,POINT,639.495
Waffle,2024-12-19T21:49:23Z,NA,Media file,player #1:VIDEO\Waffle.MOV,0,1417.32,1473.312,29.97,No focal subject,240.613,looking at owner,Not defined,NA,NA,VIDEO\Waffle.MOV,19293,19293,NA,NA,NA,NA,643.363,POINT,643.363
Waffle,2024-12-19T21:49:23Z,NA,Media file,player #1:VIDEO\Waffle.MOV,0,1417.32,1473.312,29.97,No focal subject,240.613,interacting with tupperware,Not defined,NA,STATE,VIDEO\Waffle.MOV,21755,21842,NA,NA,NA,NA,725.502,START,NA
Waffle,2024-12-19T21:49:23Z,NA,Media file,player #1:VIDEO\Waffle.MOV,0,1417.32,1473.312,29.97,No focal subject,240.613,interacting with tupperware,Not defined,NA,STATE,VIDEO\Waffle.MOV,21755,21842,NA,NA,NA,NA,728.402,STOP,NA
