"","Observation id","Behavior","Behavior type","Start (s)","Stop (s)","coder"
"307","Waffle","interacting with tupperware","STATE",101.38,107.717,"Chaewon"
"308","Waffle","looking at owner","POINT",108.283,108.283,"Chaewon"
"309","Waffle","looking at the tupperware","POINT",115.42,115.42,"Chaewon"
"310","Waffle","looking at owner","POINT",118.188,118.188,"Chaewon"
"311","Waffle","bark/whine vocalization","POINT",119.422,119.422,"Chaewon"
"312","Waffle","looking at owner","POINT",120.122,120.122,"Chaewon"
"313","Waffle","bark/whine vocalization","POINT",126.192,126.192,"Chaewon"
"314","Waffle","bark/whine vocalization","POINT",133.095,133.095,"Chaewon"
"315","Waffle","looking at owner","POINT",153.47,153.47,"Chaewon"
"316","Waffle","looking at owner","POINT",159.94,159.94,"Chaewon"
"317","Waffle","bark/whine vocalization","POINT",162.842,162.842,"Chaewon"
"318","Waffle","looking at the tupperware","POINT",175.948,175.948,"Chaewon"
"319","Waffle","bark/whine vocalization","POINT",177.615,177.615,"Chaewon"
"320","Waffle","looking at owner","POINT",178.983,178.983,"Chaewon"
"321","Waffle","bark/whine vocalization","POINT",192.455,192.455,"Chaewon"
"322","Waffle","looking at the tupperware","POINT",260.62,260.62,"Chaewon"
"323","Waffle","interacting with tupperware","STATE",261.553,262.855,"Chaewon"
"324","Waffle","interacting with tupperware","STATE",263.855,267.923,"Chaewon"
"325","Waffle","interacting with tupperware","STATE",271.292,273.96,"Chaewon"
"326","Waffle","looking at owner","POINT",276.695,276.695,"Chaewon"
"327","Waffle","looking at owner","POINT",290.1,290.1,"Chaewon"
"328","Waffle","bark/whine vocalization","POINT",301.94,301.94,"Chaewon"
"329","Waffle","bark/whine vocalization","POINT",306.575,306.575,"Chaewon"
"330","Waffle","bark/whine vocalization","POINT",310.01,310.01,"Chaewon"
"331","Waffle","looking at owner","POINT",311.01,311.01,"Chaewon"
"332","Waffle","bark/whine vocalization","POINT",313.978,313.978,"Chaewon"
"333","Waffle","bark/whine vocalization","POINT",316.112,316.112,"Chaewon"
"334","Waffle","bark/whine vocalization","POINT",319.78,319.78,"Chaewon"
"335","Waffle","bark/whine vocalization","POINT",325.717,325.717,"Chaewon"
"336","Waffle","looking at owner","POINT",328.985,328.985,"Chaewon"
"337","Waffle","bark/whine vocalization","POINT",335.522,335.522,"Chaewon"
"338","Waffle","bark/whine vocalization","POINT",361.1,361.1,"Chaewon"
